time,to,ti,gas,hum,press,alt,accx,accy,accz,gyrox,gyroy,gyroz,magnx,magny,magnz,vbus,ibus,pbus,tc
2021-12-08 08:08:00.668297,24.15,15692,14.18,833.08,1621.26,0.99,-0.1,9.82,0.02,-0.02,-0.01,-1.35,20.25,0.15,5.0,676.1,3.28,51.6
2021-12-08 08:08:00.968435,24.15,15692,14.18,833.08,1621.26,0.97,-0.04,9.82,0.02,-0.02,-0.0,-1.35,19.5,0.45,4.99,696.8,3.44,52.5
2021-12-08 08:08:01.058061,24.35,16877,14.11,833.09,1621.22,0.94,-0.09,9.82,0.02,-0.02,-0.0,-3.0,21.9,0.6,4.99,693.8,3.6,52.1
2021-12-08 08:08:01.336242,24.35,16877,14.11,833.09,1621.22,0.95,-0.13,9.82,0.02,-0.02,0.0,0.75,19.35,-0.6,4.99,689.2,3.44,52.1
2021-12-08 08:15:30,23.4,33007,13.34,832.86,1623.39,0.97,-0.1,9.8,0.02,-0.02,-0.01,0.0,20.4,-0.3,5.04,549.2,2.75,49.6
2021-12-08 08:15:30,23.4,33007,13.34,832.86,1623.39,1.0,-0.06,9.83,0.02,-0.02,-0.01,0.75,19.65,0.0,5.04,579.8,2.93,49.1
2021-12-08 08:15:30,23.54,14613,13.38,832.87,1623.36,1.0,-0.11,9.78,0.02,-0.02,-0.01,-1.95,20.1,0.6,4.98,718.1,3.51,49.6
2021-12-08 08:15:30,23.54,14613,13.38,832.87,1623.36,1.0,-0.06,9.84,0.02,-0.02,-0.0,-1.5,20.7,0.0,4.99,631.2,3.25,50.1
2021-12-08 08:15:30,23.78,15216,13.41,832.87,1623.33,0.93,-0.09,9.83,0.02,-0.02,-0.0,-1.35,19.5,0.15,4.98,778.6,3.87,50.1
2021-12-08 08:15:31,23.78,15216,13.41,832.87,1623.33,1.07,-0.05,9.82,0.02,-0.02,-0.01,-1.95,19.65,0.6,4.98,692.0,3.55,50.1
2021-12-08 08:15:31,24.02,16233,13.43,832.88,1623.24,0.97,-0.06,9.82,0.02,-0.02,0.0,-1.65,19.8,-0.45,4.98,756.4,3.58,51.1
2021-12-08 08:15:31,24.02,16233,13.43,832.88,1623.24,1.01,-0.05,9.79,0.02,-0.02,-0.01,-0.15,19.05,0.45,4.98,647.3,3.31,48.2
2021-12-08 08:15:31,24.23,17341,13.44,832.89,1623.18,0.96,-0.05,9.85,0.02,-0.03,-0.0,-0.9,19.5,0.9,4.98,749.0,3.65,49.6
2021-12-08 08:15:31,24.23,17341,13.44,832.89,1623.18,1.0,-0.1,9.78,0.02,-0.02,-0.0,-1.95,21.45,0.3,4.99,705.1,3.41,51.1
2021-12-08 08:50:12,23.67,34991,12.94,832.76,1624.44,1.03,-0.06,9.85,0.01,-0.03,-0.0,1.65,21.0,2.7,5.0,595.9,2.98,51.1
2021-12-08 08:50:13,23.67,34991,12.94,832.76,1624.44,1.05,-0.04,9.81,0.02,-0.02,0.0,0.75,19.65,1.8,4.98,651.1,3.2,50.6
2021-12-08 08:50:13,23.82,12854,12.96,832.76,1624.36,0.96,-0.03,9.79,0.02,-0.02,-0.0,1.95,20.4,2.55,5.0,593.4,2.99,51.1
2021-12-08 08:50:13,23.82,12854,12.96,832.76,1624.36,1.06,-0.06,9.78,0.02,-0.02,-0.01,1.05,19.65,2.55,5.0,657.1,3.28,50.6
2021-12-08 08:50:13,24.09,13311,12.99,832.78,1624.25,1.05,-0.06,9.81,0.02,-0.02,-0.0,-0.3,20.4,2.1,5.0,602.8,3.01,50.6
2021-12-08 08:50:13,24.09,13311,12.99,832.78,1624.25,1.04,-0.06,9.81,0.02,-0.02,-0.0,0.9,19.8,2.25,4.99,678.8,3.39,50.1
2021-12-08 08:50:13,24.38,14155,13.0,832.78,1624.21,1.05,-0.03,9.85,0.02,-0.02,-0.0,1.5,20.1,1.8,5.0,592.4,2.94,51.1
2021-12-08 08:50:14,24.38,14155,13.0,832.78,1624.21,1.0,-0.04,9.81,0.01,-0.03,-0.0,1.5,20.4,1.35,5.0,671.7,3.28,51.6
2021-12-08 08:50:14,24.64,15269,13.0,832.79,1624.1,1.1,-0.0,9.83,0.02,-0.02,-0.01,1.5,19.65,0.6,5.04,547.4,2.79,51.1
2021-12-08 08:50:14,24.64,15269,13.0,832.79,1624.1,1.08,-0.08,9.77,0.02,-0.02,-0.0,2.7,21.15,0.3,4.99,670.9,3.22,51.1
2021-12-08 08:52:52,24.06,25409,13.88,832.91,1622.95,1.03,-0.07,9.78,0.02,-0.02,-0.0,-0.3,19.35,1.35,5.0,610.5,3.05,53.0
2021-12-08 08:52:53,24.06,25409,13.88,832.91,1622.95,1.1,-0.04,9.79,0.01,-0.02,-0.0,1.5,17.85,1.05,4.99,659.4,3.29,53.0
2021-12-08 08:52:53,24.21,13810,13.91,832.92,1622.88,1.06,-0.06,9.79,0.01,-0.03,-0.0,2.7,21.45,1.35,5.03,562.5,2.89,52.5
2021-12-08 08:52:53,24.21,13810,13.91,832.92,1622.88,0.95,-0.05,9.84,0.01,-0.02,-0.0,1.5,20.4,2.55,4.99,652.6,3.25,52.5
2021-12-08 08:52:53,24.48,14969,13.94,832.92,1622.84,1.02,-0.1,9.74,0.02,-0.03,-0.0,1.95,20.4,0.6,5.0,620.7,3.1,53.0
2021-12-08 08:52:53,24.48,14969,13.94,832.92,1622.84,1.0,-0.06,9.84,0.02,-0.02,-0.01,2.1,20.55,2.25,4.99,677.6,3.37,52.5
2021-12-08 08:52:53,24.77,16197,13.98,832.94,1622.69,1.01,-0.07,9.79,0.02,-0.02,-0.0,1.95,20.1,1.35,5.0,599.2,2.98,53.0
2021-12-08 08:52:53,24.77,16197,13.98,832.94,1622.69,1.04,-0.07,9.82,0.02,-0.01,-0.01,0.15,21.3,2.25,4.98,673.3,3.46,53.0
2021-12-08 08:52:53,25.04,17436,13.99,832.93,1622.71,1.01,-0.06,9.81,0.02,-0.02,-0.01,2.1,19.8,0.45,5.0,600.7,3.0,53.0
2021-12-08 08:52:54,25.04,17436,13.99,832.93,1622.71,1.07,-0.08,9.82,0.01,-0.02,-0.0,0.3,20.1,1.8,5.0,661.9,3.37,53.0
2021-12-08 08:55:34,24.19,29236,13.07,832.8,1624.01,1.01,-0.09,9.76,0.01,-0.03,-0.0,-1.05,19.65,0.3,5.0,612.0,3.06,54.0
2021-12-08 08:55:34,24.19,29236,13.07,832.8,1624.01,1.07,-0.05,9.83,0.01,-0.02,-0.01,-0.3,18.15,2.85,4.99,680.8,3.47,53.0
2021-12-08 08:55:34,24.34,15747,13.07,832.81,1623.93,1.06,-0.08,9.79,0.01,-0.02,0.0,0.45,21.75,0.9,5.04,566.4,2.84,54.0
2021-12-08 08:55:34,24.34,15747,13.07,832.81,1623.93,1.07,-0.04,9.82,0.02,-0.03,-0.0,0.45,21.3,1.65,5.0,726.5,3.38,54.5
2021-12-08 08:55:34,24.61,16942,13.1,832.82,1623.86,1.06,-0.09,9.79,0.01,-0.02,-0.01,2.4,20.25,1.95,5.04,559.4,2.8,53.0
2021-12-08 08:55:34,24.61,16942,13.1,832.82,1623.86,1.03,-0.08,9.78,0.02,-0.02,-0.01,1.35,19.5,1.95,4.98,657.1,3.66,53.5
2021-12-08 08:55:34,24.9,18212,13.1,832.82,1623.78,1.07,-0.05,9.78,0.02,-0.02,-0.01,0.75,19.65,3.3,5.0,668.3,3.01,54.0
2021-12-08 08:55:35,24.9,18212,13.1,832.82,1623.78,1.09,-0.07,9.77,0.02,-0.02,-0.01,0.75,20.1,0.3,4.99,669.7,3.41,54.0
